Date,Description,Amount,Balance
01/03/2025,SALARY BACS PAYMENT,3500.00,3500.00
02/03/2025,TESCO SUPERSTORE,-67.43,3432.57
03/03/2025,TFL TRAVEL CHARGE,-45.00,3387.57
04/03/2025,NETFLIX SUBSCRIPTION,-15.99,3371.58
05/03/2025,STARBUCKS COFFEE,-5.60,3365.98
06/03/2025,AMAZON MARKETPLACE,-34.99,3330.99
07/03/2025,PUREGYM MONTHLY,-29.99,3301.00
08/03/2025,SAINSBURYS SUPERMARKET,-52.10,3248.90
09/03/2025,DELIVEROO ORDER,-23.45,3225.45
10/03/2025,UBER RIDE,-12.80,3212.65
11/03/2025,COSTA COFFEE,-4.75,3207.90
12/03/2025,JOHN LEWIS ONLINE,-89.00,3118.90
13/03/2025,BP PETROL STATION,-55.20,3063.70
14/03/2025,SPOTIFY PREMIUM,-9.99,3053.71
15/03/2025,NANDOS RESTAURANT,-38.50,3015.21
16/03/2025,BARCLAYS MORTGAGE,-850.00,2165.21
17/03/2025,TESCO SUPERSTORE,-45.67,2119.54
18/03/2025,UBER EATS,-18.90,2100.64
19/03/2025,BRITISH GAS DIRECT DEBIT,-85.00,2015.64
20/03/2025,TFL TRAVEL CHARGE,-30.00,1985.64
21/03/2025,BOOTS PHARMACY,-22.30,1963.34
22/03/2025,ODEON CINEMA,-28.00,1935.34
23/03/2025,AMAZON PRIME SUBSCRIPTION,-8.99,1926.35
24/03/2025,GREGGS BAKERY,-5.40,1920.95
25/03/2025,MARKS AND SPENCER FOOD,-38.90,1882.05
26/03/2025,VODAFONE DIRECT DEBIT,-35.00,1847.05
27/03/2025,IKEA STORE,-120.00,1727.05
28/03/2025,EBAY PURCHASE,-45.00,1682.05
29/03/2025,JUST EAT ORDER,-21.50,1660.55
30/03/2025,ATM CASH WITHDRAWAL,-100.00,1560.55
31/03/2025,FREELANCE PAYMENT BACS,500.00,2060.55
01/04/2025,SALARY BACS PAYMENT,3500.00,5560.55
02/04/2025,WAITROSE SUPERMARKET,-73.20,5487.35
03/04/2025,TFL TRAVEL CHARGE,-45.00,5442.35
04/04/2025,DISNEY PLUS SUBSCRIPTION,-7.99,5434.36
05/04/2025,MCDONALDS,-9.85,5424.51
06/04/2025,AMAZON MARKETPLACE,-67.00,5357.51
07/04/2025,PUREGYM MONTHLY,-29.99,5327.52
08/04/2025,ALDI SUPERMARKET,-41.30,5286.22
09/04/2025,DELIVEROO ORDER,-31.20,5255.02
10/04/2025,UBER RIDE,-14.50,5240.52
11/04/2025,PRET A MANGER,-8.90,5231.62
12/04/2025,ASOS ONLINE,-112.00,5119.62
13/04/2025,SHELL PETROL STATION,-60.00,5059.62
14/04/2025,SPOTIFY PREMIUM,-9.99,5049.63
15/04/2025,WAGAMAMA RESTAURANT,-52.00,4997.63
16/04/2025,BARCLAYS MORTGAGE,-850.00,4147.63
17/04/2025,LIDL SUPERMARKET,-39.85,4107.78
18/04/2025,UBER EATS,-25.60,4082.18
19/04/2025,THAMES WATER DIRECT DEBIT,-42.00,4040.18
20/04/2025,TFL TRAVEL CHARGE,-35.00,4005.18
21/04/2025,SUPERDRUG,-15.40,3989.78
22/04/2025,VUE CINEMA,-22.00,3967.78
23/04/2025,NETFLIX SUBSCRIPTION,-15.99,3951.79
24/04/2025,KFC,-11.20,3940.59
25/04/2025,MARKS AND SPENCER,-65.00,3875.59
26/04/2025,EE DIRECT DEBIT,-40.00,3835.59
27/04/2025,JOHN LEWIS ONLINE,-250.00,3585.59
28/04/2025,EBAY PURCHASE,-28.00,3557.59
29/04/2025,JUST EAT ORDER,-19.80,3537.79
30/04/2025,ATM CASH WITHDRAWAL,-60.00,3477.79
